"power","lat","lon","cadence","distance","time","index","racetime","athlete","km","kph","grade"
426,53.59101766,10.02889509,102,NA,44,44,628,"D",0.53024,51.0012,0.268973
316,53.5910915,10.02890331,109,NA,7249,931,628,"E",4.545,51.2244,-0.136057
236,53.591255,10.029812,95,4346.6,6607,830,629,"A",NA,NA,NA
49,53.591159,10.029535,32,6311,6732,1381,629,"B",NA,NA,NA
NA,53.591054,10.029252,33,1261.2,3532,218,629,"C",NA,NA,NA
403,53.59104968,10.02910179,102,NA,45,45,629,"D",0.54433,48.528,0.135373
280,53.59112486,10.02911126,109,NA,7250,932,629,"E",4.55926,50.8572,-0.136057
92,53.591324,10.029969,76,4359.5,6608,831,630,"A",NA,NA,NA
37,53.591216,10.029714,30,6324.5,6733,1382,630,"B",NA,NA,NA
NA,53.591107,10.029434,33,1274.8,3533,219,630,"C",NA,NA,NA
389,53.59108983,10.02930463,102,NA,46,46,630,"D",0.55854,49.7772,-0.413701
222,53.59116149,10.02931327,108,NA,7251,933,630,"E",4.57323,49.5108,0
64,53.5914,10.030088,52,4371.3,6609,832,631,"A",NA,NA,NA
24,53.59128,10.029871,29,6337.2,6734,1383,631,"B",NA,NA,NA
NA,53.591146,10.02961,33,1288.6,3534,220,631,"C",NA,NA,NA
376,53.5911402,10.02951443,102,NA,47,47,631,"D",0.5735,49.6296,0.12106
174,53.59120634,10.02950597,107,NA,7252,934,631,"E",4.58691,49.3776,0.146202
35,53.591469,10.030168,29,4380.3,6610,833,632,"A",NA,NA,NA
15,53.591344,10.030002,28,6348.4,6735,1384,632,"B",NA,NA,NA
NA,53.591226,10.029717,33,1301.5,3535,221,632,"C",NA,NA,NA
286,53.59119561,10.02969984,106,NA,48,48,632,"D",0.58733,48.7512,0.264739
67,53.59126031,10.02969112,100,NA,7253,935,632,"E",4.60053,47.3976,0.146202
7,53.591515,10.030238,5,4387.5,6611,834,633,"A",NA,NA,NA
12,53.591405,10.0301,28,6357.8,6736,1385,633,"B",NA,NA,NA
NA,53.591285,10.029856,33,1313.5,3536,222,633,"C",NA,NA,NA
138,53.5912718,10.029872,95,NA,49,49,633,"D",0.60151,47.3616,0.405187
0,53.59131614,10.02985306,68,NA,7254,936,633,"E",4.6129,42.0552,0.307882
0,53.591522,10.030289,0,4392,6612,835,634,"A",NA,NA,NA
12,53.591452,10.030158,28,6364.4,6737,1386,634,"B",NA,NA,NA
NA,53.591341,10.029967,33,1323.7,3537,223,634,"C",NA,NA,NA
38,53.59134816,10.03001383,73,NA,50,50,634,"D",0.61425,41.5476,0.0912145
0,53.59137875,10.02997803,60,NA,7255,937,634,"E",4.62367,36.9144,0.307882
119,53.591492,10.030291,20,4395.9,6613,836,635,"A",NA,NA,NA
19,53.591489,10.03021,26,6369.8,6738,1387,635,"B",NA,NA,NA
NA,53.591384,10.03004,33,1333.8,3538,224,635,"C",NA,NA,NA
34,53.59142351,10.03013285,53,NA,51,51,635,"D",0.62564,32.7276,0.329987
0,53.59143491,10.03007367,55,NA,7256,938,635,"E",4.63255,27.9792,0.533111
328,53.59145,10.030255,35,4401.2,6614,837,636,"A",NA,NA,NA
27,53.591499,10.030259,23,6373.6,6739,1388,636,"B",NA,NA,NA
NA,53.591418,10.030054,33,1342.3,3539,225,636,"C",NA,NA,NA
22,53.59148738,10.03019278,32,NA,52,52,636,"D",0.6339,22.4172,-0.822239
0,53.59148243,10.03013628,51,NA,7257,939,636,"E",4.63925,20.9268,0.533111
511,53.591404,10.030198,51,4407.6,6615,838,637,"A",NA,NA,NA
222,53.591479,10.030282,34,6377,6740,1389,637,"B",NA,NA,NA
NA,53.591443,10.030094,33,1348.5,3540,226,637,"C",NA,NA,NA
6,53.59152946,10.03024433,9,NA,53,53,637,"D",0.63975,20.4696,-1.84788
0,53.59151194,10.03019504,0,NA,7258,940,637,"E",4.64391,16.9632,0.533111
551,53.591358,10.030127,60,4414.5,6616,839,638,"A",NA,NA,NA
793,53.591442,10.030253,82,6381.6,6741,1390,638,"B",NA,NA,NA
NA,53.591458,10.030157,33,1351,3541,227,638,"C",NA,NA,NA
0,53.59153625,10.03029378,12,NA,54,54,638,"D",0.64353,16.4304,-2.37698
0,53.59151294,10.03024709,0,NA,7259,941,638,"E",4.64729,12.024,0.533111
617,53.591312,10.030038,71,4422.3,6617,840,639,"A",NA,NA,NA
808,53.591395,10.030183,91,6388.5,6742,1391,639,"B",NA,NA,NA
NA,53.591444,10.03017,33,1353.9,3542,228,639,"C",NA,NA,NA
128,53.59150834,10.03030652,32,NA,55,55,639,"D",0.64683,14.5728,-1.77092
0,53.5914857,10.03026503,0,NA,7260,942,639,"E",4.65046,14.2092,0.533111
632,53.591267,10.029933,78,4430.9,6618,841,640,"A",NA,NA,NA
772,53.591345,10.030094,95,6396.6,6743,1392,640,"B",NA,NA,NA
NA,53.591438,10.030215,33,1354.8,3543,229,640,"C",NA,NA,NA
345,53.59146282,10.03027652,51,NA,56,56,640,"D",0.65246,21.5208,-1.06044
411,53.59144824,10.03023813,60,NA,7261,943,640,"E",4.65496,18.81,0.533111
631,53.591225,10.029818,83,4440,6619,842,641,"A",NA,NA,NA
807,53.591296,10.029987,98,6405.5,6744,1393,641,"B",NA,NA,NA
NA,53.591384,10.030162,33,1354.8,3544,230,641,"C",NA,NA,NA
522,53.5914168,10.03021575,61,NA,57,57,641,"D",0.65914,22.1544,-0.696995
767,53.5914075,10.03017392,71,NA,7262,944,641,"E",4.66118,24.822,0.708466
640,53.591179,10.029691,88,4449.7,6620,843,642,"A",NA,NA,NA
565,53.591254,10.029863,106,6415,6745,1394,642,"B",NA,NA,NA
NA,53.591332,10.030033,33,1354.8,3545,231,642,"C",NA,NA,NA
692,53.59137163,10.03014148,71,NA,58,58,642,"D",0.66612,23.2956,-0.410461
856,53.59136291,10.030087,83,NA,7263,945,642,"E",4.66877,29.5272,0.708466
487,53.591137,10.029553,95,4459.9,6621,844,643,"A",NA,NA,NA
